x	approx	analytic	error
0.00000000	0.00000000	0.00000000	2.57e-12
0.02040816	0.05239602	0.06407022	1.17e-02
0.04081633	0.10457673	0.12787716	2.33e-02
0.06122449	0.15632771	0.19115863	3.48e-02
0.08163265	0.20743631	0.25365458	4.62e-02
0.10204082	0.25769251	0.31510822	5.74e-02
0.12244898	0.30688980	0.37526700	6.84e-02
0.14285714	0.35482601	0.43388374	7.91e-02
0.16326531	0.40130416	0.49071755	8.94e-02
0.18367347	0.44613327	0.54553490	9.94e-02
0.20408163	0.48912912	0.59811053	1.09e-01
0.22448980	0.53011503	0.64822840	1.18e-01
0.24489796	0.56892259	0.69568255	1.27e-01
0.26530612	0.60539232	0.74027800	1.35e-01
0.28571429	0.63937437	0.78183148	1.42e-01
0.30612245	0.67072909	0.82017225	1.49e-01
0.32653061	0.69932764	0.85514276	1.56e-01
0.34693878	0.72505250	0.88659931	1.62e-01
0.36734694	0.74779797	0.91441262	1.67e-01
0.38775510	0.76747057	0.93846842	1.71e-01
0.40816327	0.78398948	0.95866785	1.75e-01
0.42857143	0.79728680	0.97492791	1.78e-01
0.44897959	0.80730790	0.98718178	1.80e-01
0.46938776	0.81401160	0.99537911	1.81e-01
0.48979592	0.81737035	0.99948622	1.82e-01
0.51020408	0.81737035	0.99948622	1.82e-01
0.53061224	0.81401160	0.99537911	1.81e-01
0.55102041	0.80730790	0.98718178	1.80e-01
0.57142857	0.79728680	0.97492791	1.78e-01
0.59183673	0.78398948	0.95866785	1.75e-01
0.61224490	0.76747057	0.93846842	1.71e-01
0.63265306	0.74779797	0.91441262	1.67e-01
0.65306122	0.72505250	0.88659931	1.62e-01
0.67346939	0.69932764	0.85514276	1.56e-01
0.69387755	0.67072909	0.82017225	1.49e-01
0.71428571	0.63937437	0.78183148	1.42e-01
0.73469388	0.60539232	0.74027800	1.35e-01
0.75510204	0.56892259	0.69568255	1.27e-01
0.77551020	0.53011503	0.64822840	1.18e-01
0.79591837	0.48912912	0.59811053	1.09e-01
0.81632653	0.44613327	0.54553490	9.94e-02
0.83673469	0.40130416	0.49071755	8.94e-02
0.85714286	0.35482601	0.43388374	7.91e-02
0.87755102	0.30688980	0.37526700	6.84e-02
0.89795918	0.25769251	0.31510822	5.74e-02
0.91836735	0.20743631	0.25365458	4.62e-02
0.93877551	0.15632771	0.19115863	3.48e-02
0.95918367	0.10457673	0.12787716	2.33e-02
0.97959184	0.05239602	0.06407022	1.17e-02
1.00000000	0.00000000	0.00000000	2.57e-12
