x	approx	analytic	error
0.00000000	0.00000000	0.00000000	2.78e-12
0.02040816	0.05667191	0.06407022	7.40e-03
0.04081633	0.11311095	0.12787716	1.48e-02
0.06122449	0.16908519	0.19115863	2.21e-02
0.08163265	0.22436462	0.25365458	2.93e-02
0.10204082	0.27872209	0.31510822	3.64e-02
0.12244898	0.33193423	0.37526700	4.33e-02
0.14285714	0.38378238	0.43388374	5.01e-02
0.16326531	0.43405349	0.49071755	5.67e-02
0.18367347	0.48254098	0.54553490	6.30e-02
0.20408163	0.52904560	0.59811053	6.91e-02
0.22448980	0.57337627	0.64822840	7.49e-02
0.24489796	0.61535080	0.69568255	8.03e-02
0.26530612	0.65479673	0.74027800	8.55e-02
0.28571429	0.69155196	0.78183148	9.03e-02
0.30612245	0.72546545	0.82017225	9.47e-02
0.32653061	0.75639785	0.85514276	9.87e-02
0.34693878	0.78422205	0.88659931	1.02e-01
0.36734694	0.80882371	0.91441262	1.06e-01
0.38775510	0.83010174	0.93846842	1.08e-01
0.40816327	0.84796871	0.95866785	1.11e-01
0.42857143	0.86235119	0.97492791	1.13e-01
0.44897959	0.87319008	0.98718178	1.14e-01
0.46938776	0.88044085	0.99537911	1.15e-01
0.48979592	0.88407370	0.99948622	1.15e-01
0.51020408	0.88407370	0.99948622	1.15e-01
0.53061224	0.88044085	0.99537911	1.15e-01
0.55102041	0.87319008	0.98718178	1.14e-01
0.57142857	0.86235119	0.97492791	1.13e-01
0.59183673	0.84796871	0.95866785	1.11e-01
0.61224490	0.83010174	0.93846842	1.08e-01
0.63265306	0.80882371	0.91441262	1.06e-01
0.65306122	0.78422205	0.88659931	1.02e-01
0.67346939	0.75639785	0.85514276	9.87e-02
0.69387755	0.72546545	0.82017225	9.47e-02
0.71428571	0.69155196	0.78183148	9.03e-02
0.73469388	0.65479673	0.74027800	8.55e-02
0.75510204	0.61535080	0.69568255	8.03e-02
0.77551020	0.57337627	0.64822840	7.49e-02
0.79591837	0.52904560	0.59811053	6.91e-02
0.81632653	0.48254098	0.54553490	6.30e-02
0.83673469	0.43405349	0.49071755	5.67e-02
0.85714286	0.38378238	0.43388374	5.01e-02
0.87755102	0.33193423	0.37526700	4.33e-02
0.89795918	0.27872209	0.31510822	3.64e-02
0.91836735	0.22436462	0.25365458	2.93e-02
0.93877551	0.16908519	0.19115863	2.21e-02
0.95918367	0.11311095	0.12787716	1.48e-02
0.97959184	0.05667191	0.06407022	7.40e-03
1.00000000	0.00000000	0.00000000	2.78e-12
