x	approx	analytic	error
0.00000000	0.00000000	0.00000000	2.67e-12
0.02040816	0.05443726	0.06407022	9.63e-03
0.04081633	0.10865083	0.12787716	1.92e-02
0.06122449	0.16241793	0.19115863	2.87e-02
0.08163265	0.21551762	0.25365458	3.81e-02
0.10204082	0.26773171	0.31510822	4.74e-02
0.12244898	0.31884562	0.37526700	5.64e-02
0.14285714	0.36864933	0.43388374	6.52e-02
0.16326531	0.41693818	0.49071755	7.38e-02
0.18367347	0.46351374	0.54553490	8.20e-02
0.20408163	0.50818463	0.59811053	8.99e-02
0.22448980	0.55076727	0.64822840	9.75e-02
0.24489796	0.59108670	0.69568255	1.05e-01
0.26530612	0.62897722	0.74027800	1.11e-01
0.28571429	0.66428314	0.78183148	1.18e-01
0.30612245	0.69685938	0.82017225	1.23e-01
0.32653061	0.72657207	0.85514276	1.29e-01
0.34693878	0.75329912	0.88659931	1.33e-01
0.36734694	0.77693071	0.91441262	1.37e-01
0.38775510	0.79736972	0.93846842	1.41e-01
0.40816327	0.81453217	0.95866785	1.44e-01
0.42857143	0.82834753	0.97492791	1.47e-01
0.44897959	0.83875903	0.98718178	1.48e-01
0.46938776	0.84572389	0.99537911	1.50e-01
0.48979592	0.84921349	0.99948622	1.50e-01
0.51020408	0.84921349	0.99948622	1.50e-01
0.53061224	0.84572389	0.99537911	1.50e-01
0.55102041	0.83875903	0.98718178	1.48e-01
0.57142857	0.82834753	0.97492791	1.47e-01
0.59183673	0.81453217	0.95866785	1.44e-01
0.61224490	0.79736972	0.93846842	1.41e-01
0.63265306	0.77693071	0.91441262	1.37e-01
0.65306122	0.75329913	0.88659931	1.33e-01
0.67346939	0.72657207	0.85514276	1.29e-01
0.69387755	0.69685938	0.82017225	1.23e-01
0.71428571	0.66428314	0.78183148	1.18e-01
0.73469388	0.62897722	0.74027800	1.11e-01
0.75510204	0.59108670	0.69568255	1.05e-01
0.77551020	0.55076727	0.64822840	9.75e-02
0.79591837	0.50818463	0.59811053	8.99e-02
0.81632653	0.46351374	0.54553490	8.20e-02
0.83673469	0.41693818	0.49071755	7.38e-02
0.85714286	0.36864933	0.43388374	6.52e-02
0.87755102	0.31884562	0.37526700	5.64e-02
0.89795918	0.26773171	0.31510822	4.74e-02
0.91836735	0.21551762	0.25365458	3.81e-02
0.93877551	0.16241793	0.19115863	2.87e-02
0.95918367	0.10865083	0.12787716	1.92e-02
0.97959184	0.05443726	0.06407022	9.63e-03
1.00000000	0.00000000	0.00000000	2.67e-12
