x	approx
0.00000000	0.00000000
0.10101010	0.19536742
0.20202020	0.37122589
0.30303030	0.51001457
0.40404040	0.59787434
0.50505051	0.62603171
0.60606061	0.59167495
0.70707071	0.49823486
0.80808081	0.35504215
0.90909091	0.17639572
1.01010101	-0.01986519
1.11111111	-0.21414241
1.21212121	-0.38703584
1.31313131	-0.52128074
1.41414141	-0.60347171
1.51515152	-0.62540135
1.61616162	-0.58487980
1.71717172	-0.48595347
1.81818182	-0.33850090
1.91919192	-0.15724640
2.02020202	0.03971038
2.12121212	0.23270177
2.22222222	0.40245608
2.32323232	0.53202203
2.42424242	0.60846144
2.52525253	0.62414126
2.62626263	0.57749573
2.72727273	0.47318276
2.82828283	0.32161882
2.92929293	0.13793874
3.03030303	-0.05951559
3.13131313	-0.25102683
3.23232323	-0.41747108
3.33333333	-0.54222761
3.43434343	-0.61283851
3.53535354	-0.62225272
3.63636364	-0.56953016
3.73737374	-0.45993560
3.83838384	-0.30441289
3.93939394	-0.11849219
4.04040404	0.07926087
4.14141414	0.26909911
4.24242424	0.43206573
4.34343434	0.55188722
4.44444444	0.61659849
4.54545455	0.61973762
4.64646465	0.56099113
4.74747475	0.44622532
4.84848485	0.28690045
4.94949495	0.09892634
5.05050505	-0.09892634
5.15151515	-0.28690044
5.25252525	-0.44622532
5.35353535	-0.56099113
5.45454545	-0.61973762
5.55555556	-0.61659849
5.65656566	-0.55188722
5.75757576	-0.43206573
5.85858586	-0.26909912
5.95959596	-0.07926087
6.06060606	0.11849219
6.16161616	0.30441289
6.26262626	0.45993560
6.36363636	0.56953016
6.46464646	0.62225272
6.56565657	0.61283851
6.66666667	0.54222761
6.76767677	0.41747108
6.86868687	0.25102683
6.96969697	0.05951559
7.07070707	-0.13793874
7.17171717	-0.32161882
7.27272727	-0.47318276
7.37373737	-0.57749572
7.47474747	-0.62414126
7.57575758	-0.60846144
7.67676768	-0.53202203
7.77777778	-0.40245608
7.87878788	-0.23270177
7.97979798	-0.03971038
8.08080808	0.15724640
8.18181818	0.33850090
8.28282828	0.48595346
8.38383838	0.58487980
8.48484848	0.62540135
8.58585859	0.60347171
8.68686869	0.52128074
8.78787879	0.38703584
8.88888889	0.21414241
8.98989899	0.01986519
9.09090909	-0.17639572
9.19191919	-0.35504214
9.29292929	-0.49823486
9.39393939	-0.59167495
9.49494949	-0.62603171
9.59595960	-0.59787434
9.69696970	-0.51001457
9.79797980	-0.37122589
9.89898990	-0.19536742
10.00000000	-0.00000000
