x	approx
0.00000000	0.00000000
0.10101010	0.12232160
0.20202020	0.23242843
0.30303030	0.31932549
0.40404040	0.37433541
0.50505051	0.39196504
0.60606061	0.37045391
0.70707071	0.31195009
0.80808081	0.22229562
0.90909091	0.11044321
1.01010101	-0.01243781
1.11111111	-0.13407681
1.21212121	-0.24232721
1.31313131	-0.32637936
1.41414141	-0.37783999
1.51515152	-0.39157036
1.61616162	-0.36619940
1.71717172	-0.30426058
1.81818182	-0.21193898
1.91919192	-0.09845362
2.02020202	0.02486309
2.12121212	0.14569703
2.22222222	0.25198199
2.32323232	0.33310459
2.42424242	0.38096411
2.52525253	0.39078141
2.62626263	0.36157615
2.72727273	0.29626470
2.82828283	0.20136892
2.92929293	0.08636490
3.03030303	-0.03726334
3.13131313	-0.15717054
3.23232323	-0.26138304
3.33333333	-0.33949441
3.43434343	-0.38370464
3.53535354	-0.38959897
3.63636364	-0.35658882
3.73737374	-0.28797051
3.83838384	-0.19059611
3.93939394	-0.07418921
4.04040404	0.04962606
4.14141414	0.16848579
4.24242424	0.27052090
4.34343434	0.34554239
4.44444444	0.38605880
4.54545455	0.38802424
4.64646465	0.35124244
4.74747475	0.27938636
4.84848485	0.17963139
4.94949495	0.06193882
5.05050505	-0.06193882
5.15151515	-0.17963139
5.25252525	-0.27938636
5.35353535	-0.35124244
5.45454545	-0.38802424
5.55555556	-0.38605880
5.65656566	-0.34554239
5.75757576	-0.27052090
5.85858586	-0.16848579
5.95959596	-0.04962606
6.06060606	0.07418921
6.16161616	0.19059611
6.26262626	0.28797051
6.36363636	0.35658882
6.46464646	0.38959897
6.56565657	0.38370464
6.66666667	0.33949441
6.76767677	0.26138304
6.86868687	0.15717054
6.96969697	0.03726334
7.07070707	-0.08636490
7.17171717	-0.20136892
7.27272727	-0.29626470
7.37373737	-0.36157615
7.47474747	-0.39078141
7.57575758	-0.38096411
7.67676768	-0.33310459
7.77777778	-0.25198199
7.87878788	-0.14569703
7.97979798	-0.02486309
8.08080808	0.09845362
8.18181818	0.21193898
8.28282828	0.30426058
8.38383838	0.36619940
8.48484848	0.39157036
8.58585859	0.37783999
8.68686869	0.32637936
8.78787879	0.24232721
8.88888889	0.13407682
8.98989899	0.01243781
9.09090909	-0.11044321
9.19191919	-0.22229562
9.29292929	-0.31195009
9.39393939	-0.37045391
9.49494949	-0.39196504
9.59595960	-0.37433541
9.69696970	-0.31932549
9.79797980	-0.23242843
9.89898990	-0.12232160
10.00000000	-0.00000000
