0.0000000000 -5.101510661754e-05 0.000000000000e+00 5.102e-05
0.0101010101 -4.946919138935e-05 1.030610152125e-06 5.050e-05
0.0202020202 -4.173961524841e-05 8.244881217002e-06 4.998e-05
0.0303030303 -2.164271728197e-05 2.782647410738e-05 4.947e-05
0.0404040404 1.700516342273e-05 6.595904973602e-05 4.895e-05
0.0505050505 8.038768777843e-05 1.288262690157e-04 4.844e-05
0.0606060606 1.746885166979e-04 2.226117928591e-04 4.792e-05
0.0707070707 3.060913110939e-04 3.534992821790e-04 4.741e-05
0.0808080808 4.807797318791e-04 5.276723978881e-04 4.689e-05
0.0909090909 7.049374399663e-04 7.513148008993e-04 4.638e-05
0.1010101010 9.847480962684e-04 1.030610152125e-03 4.586e-05
0.1111111111 1.326395361698e-03 1.371742112479e-03 4.535e-05
0.1212121212 1.736062897168e-03 1.780894342872e-03 4.483e-05
0.1313131313 2.219934363590e-03 2.264250504219e-03 4.432e-05
0.1414141414 2.784193421879e-03 2.827994257432e-03 4.380e-05
0.1515151515 3.435023732946e-03 3.478309263423e-03 4.329e-05
0.1616161616 4.178608957705e-03 4.221379183105e-03 4.277e-05
0.1717171717 5.021132757067e-03 5.063387677391e-03 4.225e-05
0.1818181818 5.968778791946e-03 6.010518407195e-03 4.174e-05
0.1919191919 7.027730723255e-03 7.068955033427e-03 4.122e-05
0.2020202020 8.204172211906e-03 8.244881217002e-03 4.071e-05
0.2121212121 9.504286918812e-03 9.544480618832e-03 4.019e-05
0.2222222222 1.093425850489e-02 1.097393689983e-02 3.968e-05
0.2323232323 1.250027063104e-02 1.253943372091e-02 3.916e-05
0.2424242424 1.420850695819e-02 1.424715474298e-02 3.865e-05
0.2525252525 1.606515114724e-02 1.610328362696e-02 3.813e-05
0.2626262626 1.807638685911e-02 1.811400403375e-02 3.762e-05
0.2727272727 2.024839775472e-02 2.028549962428e-02 3.710e-05
0.2828282828 2.258736749497e-02 2.262395405945e-02 3.659e-05
0.2929292929 2.509947974077e-02 2.513555100018e-02 3.607e-05
0.3030303030 2.779091815305e-02 2.782647410738e-02 3.556e-05
0.3131313131 3.066786639270e-02 3.070290704196e-02 3.504e-05
0.3232323232 3.373650812066e-02 3.377103346484e-02 3.453e-05
0.3333333333 3.700302699782e-02 3.703703703693e-02 3.401e-05
0.3434343434 4.047360668510e-02 4.050710141913e-02 3.349e-05
0.3535353535 4.415443084342e-02 4.418741027237e-02 3.298e-05
0.3636363636 4.805168313368e-02 4.808414725756e-02 3.246e-05
0.3737373737 5.217154721680e-02 5.220349603560e-02 3.195e-05
0.3838383838 5.652020675369e-02 5.655164026742e-02 3.143e-05
0.3939393939 6.110384540527e-02 6.113476361392e-02 3.092e-05
0.4040404040 6.592864683244e-02 6.595904973602e-02 3.040e-05
0.4141414141 7.100079469613e-02 7.103068229463e-02 2.989e-05
0.4242424242 7.632647265723e-02 7.635584495066e-02 2.937e-05
0.4343434343 8.191186437668e-02 8.194072136502e-02 2.886e-05
0.4444444444 8.776315351537e-02 8.779149519864e-02 2.834e-05
0.4545454545 9.388652373422e-02 9.391435011242e-02 2.783e-05
0.4646464646 1.002881586941e-01 1.003154697673e-01 2.731e-05
0.4747474747 1.069742420561e-01 1.070010378241e-01 2.680e-05
0.4848484848 1.139509574809e-01 1.139772379438e-01 2.628e-05
0.4949494949 1.212244886295e-01 1.212502537874e-01 2.577e-05
0.5050505051 1.288010191636e-01 1.288262690164e-01 2.525e-05
0.5151515152 1.366867327426e-01 1.367114672904e-01 2.473e-05
0.5252525253 1.448878130282e-01 1.449120322709e-01 2.422e-05
0.5353535354 1.534104436812e-01 1.534341476188e-01 2.370e-05
0.5454545455 1.622608083626e-01 1.622839969951e-01 2.319e-05
0.5555555556 1.714450907333e-01 1.714677640608e-01 2.267e-05
0.5656565657 1.809694744542e-01 1.809916324766e-01 2.216e-05
0.5757575758 1.908401431862e-01 1.908617859035e-01 2.164e-05
0.5858585859 2.010632805903e-01 2.010844080025e-01 2.113e-05
0.5959595960 2.116450703273e-01 2.116656824344e-01 2.061e-05
0.6060606061 2.225916960581e-01 2.226117928602e-01 2.010e-05
0.6161616162 2.339093414437e-01 2.339289229407e-01 1.958e-05
0.6262626263 2.456041901450e-01 2.456232563369e-01 1.907e-05
0.6363636364 2.576824258229e-01 2.577009767097e-01 1.855e-05
0.6464646465 2.701502321382e-01 2.701682677200e-01 1.804e-05
0.6565656566 2.830137927520e-01 2.830313130287e-01 1.752e-05
0.6666666667 2.962792913251e-01 2.962962962967e-01 1.700e-05
0.6767676768 3.099529115185e-01 3.099694011850e-01 1.649e-05
0.6868686869 3.240408369930e-01 3.240568113545e-01 1.597e-05
0.6969696970 3.385492514096e-01 3.385647104660e-01 1.546e-05
0.7070707071 3.534843384292e-01 3.534992821805e-01 1.494e-05
0.7171717172 3.688522817126e-01 3.688667101589e-01 1.443e-05
0.7272727273 3.846592649209e-01 3.846731780620e-01 1.391e-05
0.7373737374 4.009114717149e-01 4.009248695509e-01 1.340e-05
0.7474747475 4.176150857555e-01 4.176279682865e-01 1.288e-05
0.7575757576 4.347762907037e-01 4.347886579296e-01 1.237e-05
0.7676767677 4.524012702203e-01 4.524131221411e-01 1.185e-05
0.7777777778 4.704962079663e-01 4.705075445820e-01 1.134e-05
0.7878787879 4.890672876026e-01 4.890781089132e-01 1.082e-05
0.7979797980 5.081206927900e-01 5.081309987956e-01 1.031e-05
0.8080808081 5.276626071896e-01 5.276723978901e-01 9.791e-06
0.8181818182 5.476992144622e-01 5.477084898576e-01 9.275e-06
