x	approx	analytic	error
0.00000000	0.00000000	0.00000000	2.89e-12
0.02040816	0.05899830	0.06407022	5.07e-03
0.04081633	0.11775415	0.12787716	1.01e-02
0.06122449	0.17602614	0.19115863	1.51e-02
0.08163265	0.23357479	0.25365458	2.01e-02
0.10204082	0.29016363	0.31510822	2.49e-02
0.12244898	0.34556013	0.37526700	2.97e-02
0.14285714	0.39953665	0.43388374	3.43e-02
0.16326531	0.45187139	0.49071755	3.88e-02
0.18367347	0.50234929	0.54553490	4.32e-02
0.20408163	0.55076292	0.59811053	4.73e-02
0.22448980	0.59691336	0.64822840	5.13e-02
0.24489796	0.64061095	0.69568255	5.51e-02
0.26530612	0.68167613	0.74027800	5.86e-02
0.28571429	0.71994016	0.78183148	6.19e-02
0.30612245	0.75524581	0.82017225	6.49e-02
0.32653061	0.78744798	0.85514276	6.77e-02
0.34693878	0.81641436	0.88659931	7.02e-02
0.36734694	0.84202592	0.91441262	7.24e-02
0.38775510	0.86417742	0.93846842	7.43e-02
0.40816327	0.88277782	0.95866785	7.59e-02
0.42857143	0.89775070	0.97492791	7.72e-02
0.44897959	0.90903453	0.98718178	7.81e-02
0.46938776	0.91658294	0.99537911	7.88e-02
0.48979592	0.92036492	0.99948622	7.91e-02
0.51020408	0.92036492	0.99948622	7.91e-02
0.53061224	0.91658294	0.99537911	7.88e-02
0.55102041	0.90903453	0.98718178	7.81e-02
0.57142857	0.89775070	0.97492791	7.72e-02
0.59183673	0.88277782	0.95866785	7.59e-02
0.61224490	0.86417742	0.93846842	7.43e-02
0.63265306	0.84202592	0.91441262	7.24e-02
0.65306122	0.81641436	0.88659931	7.02e-02
0.67346939	0.78744798	0.85514276	6.77e-02
0.69387755	0.75524581	0.82017225	6.49e-02
0.71428571	0.71994016	0.78183148	6.19e-02
0.73469388	0.68167613	0.74027800	5.86e-02
0.75510204	0.64061095	0.69568255	5.51e-02
0.77551020	0.59691336	0.64822840	5.13e-02
0.79591837	0.55076292	0.59811053	4.73e-02
0.81632653	0.50234929	0.54553490	4.32e-02
0.83673469	0.45187139	0.49071755	3.88e-02
0.85714286	0.39953665	0.43388374	3.43e-02
0.87755102	0.34556013	0.37526700	2.97e-02
0.89795918	0.29016363	0.31510822	2.49e-02
0.91836735	0.23357479	0.25365458	2.01e-02
0.93877551	0.17602614	0.19115863	1.51e-02
0.95918367	0.11775415	0.12787716	1.01e-02
0.97959184	0.05899830	0.06407022	5.07e-03
1.00000000	0.00000000	0.00000000	2.89e-12
