x	approx	analytic	error
0.00000000	0.00000000	0.00000000	3.01e-12
0.02040816	0.06142018	0.06407022	2.65e-03
0.04081633	0.12258796	0.12787716	5.29e-03
0.06122449	0.18325201	0.19115863	7.91e-03
0.08163265	0.24316303	0.25365458	1.05e-02
0.10204082	0.30207485	0.31510822	1.30e-02
0.12244898	0.35974537	0.37526700	1.55e-02
0.14285714	0.41593763	0.43388374	1.79e-02
0.16326531	0.47042070	0.49071755	2.03e-02
0.18367347	0.52297072	0.54553490	2.26e-02
0.20408163	0.57337174	0.59811053	2.47e-02
0.22448980	0.62141665	0.64822840	2.68e-02
0.24489796	0.66690803	0.69568255	2.88e-02
0.26530612	0.70965894	0.74027800	3.06e-02
0.28571429	0.74949370	0.78183148	3.23e-02
0.30612245	0.78624864	0.82017225	3.39e-02
0.32653061	0.81977271	0.85514276	3.54e-02
0.34693878	0.84992817	0.88659931	3.67e-02
0.36734694	0.87659108	0.91441262	3.78e-02
0.38775510	0.89965189	0.93846842	3.88e-02
0.40816327	0.91901584	0.95866785	3.97e-02
0.42857143	0.93460336	0.97492791	4.03e-02
0.44897959	0.94635039	0.98718178	4.08e-02
0.46938776	0.95420867	0.99537911	4.12e-02
0.48979592	0.95814590	0.99948622	4.13e-02
0.51020408	0.95814590	0.99948622	4.13e-02
0.53061224	0.95420867	0.99537911	4.12e-02
0.55102041	0.94635039	0.98718178	4.08e-02
0.57142857	0.93460336	0.97492791	4.03e-02
0.59183673	0.91901584	0.95866785	3.97e-02
0.61224490	0.89965189	0.93846842	3.88e-02
0.63265306	0.87659108	0.91441262	3.78e-02
0.65306122	0.84992817	0.88659931	3.67e-02
0.67346939	0.81977271	0.85514276	3.54e-02
0.69387755	0.78624864	0.82017225	3.39e-02
0.71428571	0.74949370	0.78183148	3.23e-02
0.73469388	0.70965894	0.74027800	3.06e-02
0.75510204	0.66690803	0.69568255	2.88e-02
0.77551020	0.62141665	0.64822840	2.68e-02
0.79591837	0.57337174	0.59811053	2.47e-02
0.81632653	0.52297072	0.54553490	2.26e-02
0.83673469	0.47042070	0.49071755	2.03e-02
0.85714286	0.41593763	0.43388374	1.79e-02
0.87755102	0.35974537	0.37526700	1.55e-02
0.89795918	0.30207485	0.31510822	1.30e-02
0.91836735	0.24316303	0.25365458	1.05e-02
0.93877551	0.18325201	0.19115863	7.91e-03
0.95918367	0.12258796	0.12787716	5.29e-03
0.97959184	0.06142018	0.06407022	2.65e-03
1.00000000	0.00000000	0.00000000	3.01e-12
