x	approx
0.00000000	0.00000000
0.01010101	0.00786009
0.02020202	0.01571227
0.03030303	0.02354863
0.04040404	0.03136128
0.05050505	0.03914234
0.06060606	0.04688400
0.07070707	0.05457845
0.08080808	0.06221794
0.09090909	0.06979478
0.10101010	0.07730134
0.11111111	0.08473007
0.12121212	0.09207349
0.13131313	0.09932419
0.14141414	0.10647488
0.15151515	0.11351836
0.16161616	0.12044754
0.17171717	0.12725544
0.18181818	0.13393520
0.19191919	0.14048010
0.20202020	0.14688355
0.21212121	0.15313910
0.22222222	0.15924045
0.23232323	0.16518146
0.24242424	0.17095615
0.25252525	0.17655869
0.26262626	0.18198346
0.27272727	0.18722499
0.28282828	0.19227799
0.29292929	0.19713739
0.30303030	0.20179829
0.31313131	0.20625600
0.32323232	0.21050602
0.33333333	0.21454408
0.34343434	0.21836611
0.35353535	0.22196827
0.36363636	0.22534692
0.37373737	0.22849867
0.38383838	0.23142034
0.39393939	0.23410899
0.40404040	0.23656191
0.41414141	0.23877663
0.42424242	0.24075092
0.43434343	0.24248280
0.44444444	0.24397052
0.45454545	0.24521259
0.46464646	0.24620774
0.47474747	0.24695498
0.48484848	0.24745356
0.49494949	0.24770298
0.50505051	0.24770298
0.51515152	0.24745356
0.52525253	0.24695498
0.53535354	0.24620774
0.54545455	0.24521259
0.55555556	0.24397052
0.56565657	0.24248280
0.57575758	0.24075092
0.58585859	0.23877663
0.59595960	0.23656191
0.60606061	0.23410899
0.61616162	0.23142034
0.62626263	0.22849867
0.63636364	0.22534692
0.64646465	0.22196827
0.65656566	0.21836611
0.66666667	0.21454408
0.67676768	0.21050602
0.68686869	0.20625600
0.69696970	0.20179829
0.70707071	0.19713739
0.71717172	0.19227799
0.72727273	0.18722499
0.73737374	0.18198346
0.74747475	0.17655869
0.75757576	0.17095615
0.76767677	0.16518146
0.77777778	0.15924045
0.78787879	0.15313910
0.79797980	0.14688355
0.80808081	0.14048010
0.81818182	0.13393520
0.82828283	0.12725544
0.83838384	0.12044754
0.84848485	0.11351836
0.85858586	0.10647488
0.86868687	0.09932419
0.87878788	0.09207349
0.88888889	0.08473007
0.89898990	0.07730134
0.90909091	0.06979478
0.91919192	0.06221794
0.92929293	0.05457845
0.93939394	0.04688400
0.94949495	0.03914234
0.95959596	0.03136128
0.96969697	0.02354863
0.97979798	0.01571227
0.98989899	0.00786009
1.00000000	0.00000000
